SL. Number,Number of Cycles,Stress (MPa),Solution Temperature (°C),Solution Time (hrs),Temperature Measurement (°C),Ann/Age. temp (cel),Ann/age time (hrs),Total Strain (%),R,Frequency (Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr,PI Fatigue Life
123,100000,860,932,0,25,704,2,0,0.5,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,119984.4596
126,100000,850,925,1,25,700,2,0,0.5,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,141416.4725
158,1000000,800,932,0,25,704,2,0,0.5,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,331655.7262
161,1000000,780,925,1,25,700,2,0,0.5,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,473491.8412
164,1000000,699,0,0,25,700,2,0,0.5,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0,2211821.116
189,10000000,640,932,0,25,704,2,0,0.5,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,7641656.292
192,10000000,640,925,1,25,700,2,0,0.5,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,7641656.292
195,10000000,582,0,0,25,700,2,0,0.5,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0,29056948.26
159,1000000,920,932,0,25,704,2,0,0.8,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,1332370.474
190,10000000,900,932,0,25,704,2,0,0.8,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,8663382.709
124,100000,950,932,0,25,704,2,0,0.8,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,86633.82709
125,100000,700,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,297294.928
183,6000000,621,0,0,455,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8,1216010.99
176,2600000,703,0,0,455,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8,282732.0226
163,1000000,547,0,0,25,700,2,0,0.1,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0,5409099.87
162,1000000,610,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,1500548.372
160,1000000,600,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,1822583.776
